user,log

ian,"{'Date': '15/07/2022', 'Exchange Rate': 0.9995, 'Converted Amount': 461.6805, 'Base currency': 'USD', 'converted Currency': 'EUR'}"
ian,"{'Date': '15/07/2022', 'Exchange Rate': 0.9995, 'Converted Amount': 499.7501, 'Base currency': 'USD', 'converted Currency': 'EUR'}"
